Classifier name,Mean Accuracy (train),Sd Accuracy (train),Mean Accuracy (test),Sd Accuracy (test),time
Logistic Regression,0.7264437689969604,0.1529549671600695,0.4776635129576306,0.0234153659715518,107.81687664985655
K-Nearest Neighbors Classifier,1.0,0.0,0.6013163307280954,0.0081930601144448,238.57335143089296
Multi-layer Perceptron (Non-linear),1.0,0.0,0.7607568901686548,0.01474459354485881,77.09846982955932
