Classifier name,Mean Accuracy (train),Sd Accuracy (train),Mean Accuracy (test),Sd Accuracy (test),time
Logistic Regression,0.6519554204660587,0.0057198877452895,0.4966680378445084,0.0053206294214742,104.65948667526246
K-Nearest Neighbors Classifier,0.9996757852077,0.0001812415787234,0.5711229946524063,0.0076935174599792,213.25636892318727
Multi-layer Perceptron (Non-linear),1.0,0.0,0.835540929658577,0.008596202490891382,59.7295777797699
