Classifier name,Mean Accuracy (train),Sd Accuracy (train),Mean Accuracy (test),Sd Accuracy (test),time
Logistic Regression,0.641742654508612,0.0056791839745659,0.4912381735911147,0.0106372827344351,119.21832427978516
K-Nearest Neighbors Classifier,1.0,0.0,0.5540929658576718,0.0092759952972272,238.1316853046417
Multi-layer Perceptron (Non-linear),0.9997973657548126,0.0002865680977453225,0.4411353352529823,0.03002963996939626,97.52859754562378
